Healthcare and Medicine,the Trend of Healthcare and Medicine,u_shape,negative
Treatment dosage (mg),Survival rate (%)
10.0,50.0
31.52,54.8
53.04,56.94
74.57,57.16
96.09,72.28
117.61,66.95
139.13,74.72
160.65,78.73
182.17,80.59
203.7,83.48
225.22,82.17
246.74,91.63
268.26,93.56
289.78,90.45
311.3,95.02
332.83,95.47
354.35,98.82
375.87,95.0
397.39,99.4
418.91,98.27
440.43,99.33
461.96,100.0
483.48,97.5
505.0,98.61
526.52,98.64
548.04,98.79
569.57,98.4
591.09,98.47
612.61,95.69
634.13,94.35
655.65,96.07
677.17,96.62
698.7,92.08
720.22,92.08
741.74,90.73
763.26,85.46
784.78,89.8
806.3,78.98
827.83,81.64
849.35,80.0
870.87,71.68
892.39,68.79
913.91,66.82
935.43,59.81
956.96,56.93
978.48,55.12
1000.0,52.72
